ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
1,1404437500,1879375000,847562500,6691437500.0,24062500.0,22000000.0,9000000.0,6000000.0,1094.6875,75927187.59,208750965.8,69909.84375,2106280.188,323062500,0.249812453,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.5133422957615981,-0.49283685342265315,-0.5083698759968259,-0.5267201518527413,-0.5481486995351724,-0.5853358264095175,-0.4763185437402399,-0.5521353087812146,-1.0334635515874921,-0.533115153160187,0.47794431713549523,1.1555041864268139,-1.1556193695757855,-0.48296609228920756,-0.6506330531767544
1,12026000000,12740000000,6718000000,66508000000.0,770000000.0,886000000.0,450000000.0,510000000.0,2794.0,667214692.0,2140012.0,37804.0,2173832.0,3726000000,0.099909991,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,0.7236211827035267,0.9713912265805573,0.8780620795676678,0.8542904186514494,0.3762208990951383,0.5306793665286359,0.2013110218984041,0.46316542396911425,0.2223361837948565,0.6760823658023815,-0.46076367809372837,-0.8660160420895693,0.8387555778759572,0.16779269677878514,-0.6742271617082012
1,15412000000,13574000000,7810000000,78274000000.0,1042000000.0,1350000000.0,578000000.0,674000000.0,3143.0,988375427.0,12387149.0,37804.0,2173212.0,7256000000,0.319971195,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,1.1179471905844682,1.0838310004170242,1.1359617157492006,1.1259370946461174,0.7132847024666601,1.130020859032459,0.3979926191812759,0.793541059229142,0.48024878530190107,1.3328639839725407,-0.41420724314584806,-0.8660160420895693,0.8204509250352594,0.8428502097098967,-0.6395903194478194
1,2774000000,3772125000,1704000000,13240000000.0,32437500.0,36000000.0,13812500.0,14000000.0,1114.0,149944864.9,359892085.1,69909.84375,2106280.531,481687500,5.902160864,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.3538461016775928,-0.23765653935913683,-0.30610346604973665,-0.37553068766199404,-0.5377703563247441,-0.567252246894316,-0.46892377665489754,-0.536019424134384,-1.0191915254654154,-0.3817471788751036,1.1646328710838092,1.1555041864268139,-1.1556092429694595,-0.452631531952466,0.23902626320382123
1,18550000000,15452000000,9102000000,91458000000.0,1952000000.0,1634000000.0,1606000000.0,1130000000.0,2595.0,1046559997.0,4282318.0,37804.0,2173212.0,11742000000,0.048734085,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,1.483391671603486,1.3370227213581332,1.4410957175317467,1.430321743321428,1.840961397569913,1.4968591863408336,1.9775916973593395,1.712146484098487,0.07527427061462193,1.4518528635973642,-0.45103041016460305,-0.8660160420895693,0.8204509250352594,1.7007278309588958,-0.6822820653051755
1,3287250000,3942500000,1750937500,14094000000.0,51500000.0,52000000.0,23625000.0,24125000.0,1081.03125,66733339.97,499107790.7,69909.84375,2106280.531,812062500,0.285591767,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.2940741514280673,-0.21468660354692098,-0.2950181508727488,-0.35581402428451264,-0.5141480079726499,-0.5465852988769427,-0.453846134675693,-0.515622757628239,-1.043555583003912,-0.5519167981280049,1.79713997443274,1.1555041864268139,-1.1556092429694595,-0.38945245947807056,-0.645001517800793
1,52000000,92000000,46000000,384000000.0,4000000.0,4000000.0,2000000.0,0.0,2197.0,22257308.0,669218.0,37804.0,2173178.0,24000000,4.012048193,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.6708441505411258,-0.7338105233998172,-0.6976763568821372,-0.6723426600049697,-0.5730102530467208,-0.6085861429290624,-0.48707456859164694,-0.5642222222663376,-0.21884955574584722,-0.6428713796307666,-0.46744602509296657,-0.8660160420895693,0.8194471214923824,-0.540157136895712,-0.058470675146910525
1,54312500,105687500,41187500,306687500.0,,,,,1110.5625,4342227.188,11126254.91,69877.84375,2106278.5,1562500,2.252252252,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.6705748419489153,-0.7319651763921594,-0.6988129338044116,-0.6741276067700418,,,,,-1.0217318537395714,-0.6795081614134292,-0.4199359392369857,1.1534893305701595,-1.1556692054693283,-0.5444479592601289,-0.33545622876079084
1,338000000,560000000,308000000,2486000000.0,42000000.0,36000000.0,12000000.0,10000000.0,2871.0,112093988.0,1709704.0,37804.0,2173189.0,166000000,7.006006006,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.63753722843423,-0.6707148229735985,-0.6357993379448097,-0.6238128866800682,-0.525920456987464,-0.567252246894316,-0.4717088188039226,-0.5440773664577994,0.2792395371359523,-0.45915315498093584,-0.4627187223572678,-0.8660160420895693,0.8197718814621368,-0.5130018488401261,0.41276751958330865
1,93562500,208250000,89937500,639250000.0,62500.0,0.0,0.0,0.0,1111.625,13121830.88,18075436.22,69909.84375,2106279.844,9750000,5.402160864,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.6660038744919374,-0.7181377131977917,-0.6872995571891646,-0.6664495940481756,-0.5778896233620714,-0.6137528799334057,-0.4901477185491918,-0.5642222222663376,-1.020946661363923,-0.6615536554875274,-0.3883633050856085,1.1555041864268139,-1.1556295257057498,-0.5428822274224169,0.16032806099735292
