ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby
1,3361111.111,22305555.56,5500000.0,47611111.11,861111.1111,833333.3333,27777.77778,27777.77778,12.40277778,12862179.61,13461422.29,525.0555556,30141.91667,4388888.889,0.666,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.5694035791374918,-0.6094438470533259,-0.629416804921959,-0.603634307791298,-0.6665299493728409,-0.6656778133023132,-0.709789374169431,-0.7628140452851192,-0.22036688966698334,-0.6604845845794063,-0.6750466762240424,0.0,0.5805847488542568,-0.7344621758945987,-0.7357766888618692
1,5500000.0,33666666.67,8527777.778,75638888.89,916666.6667,1166666.667,27777.77778,55555.55556,6.319444444,18540896.81,13417601.01,525.0555556,30141.91667,4750000.0,1.0,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.5415004362189583,-0.580376782783121,-0.5924659740396828,-0.5722567843018558,-0.6544707360124843,-0.6270931207965958,-0.709789374169431,-0.5761113069088806,-1.4599306471256948,-0.624491040661122,-0.6760009240413425,0.0,0.5805847488542568,-0.7175393699498331,1.750212605127178
1,8861111.111,52361111.11,13583333.33,121611111.1,1027777.778,1750000.0,27777.77778,27777.77778,14.625,28034570.5,13403595.24,525.0555556,30141.91667,5222222.222,1.0,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.49765264020784716,-0.5325476036850517,-0.5307682564676558,-0.5207901823622092,-0.6303523092700642,-0.5595699090244505,-0.709789374169431,-0.7628140452851192,0.23244178820544692,-0.5643170702251803,-0.6763059122902504,0.0,0.5805847488542568,-0.6954095467948985,1.750212605127178
1,13638888.89,78555555.56,20666666.67,186138888.9,1194444.444,2555555.556,55555.55556,55555.55556,15.18055556,41330944.85,13505054.47,525.0555556,30141.91667,5388888.889,0.750750751,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.4353235417277667,-0.4655298980241781,-0.4443236520350223,-0.448550353734561,-0.5941746693626467,-0.4663235688534248,-0.5940628457669365,-0.5761113069088806,0.345643958692374,-0.48004035468092454,-0.6740965462294589,0.0,0.5805847488542568,-0.6875990209562132,-0.10496992346207447
1,19805555.56,112333333.3,29777777.78,269333333.3,1222222.222,3583333.333,55555.55556,55555.55556,13.68055556,58454699.14,13503800.21,525.0555556,30141.91667,6611111.111,0.600240096,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.3548755192480131,-0.37911046008653826,-0.33313216096145354,-0.3554129079533673,-0.5881450626390552,-0.34735410051502674,-0.5940628457669365,-0.5761113069088806,0.039998100822837834,-0.371504468779964,-0.6741238588699688,0.0,0.5805847488542568,-0.6303218315974892,-1.225233028136563
1,4250000.0,43416666.67,8500000.0,79888888.89,1722222.222,1333333.333,83333.33333,55555.55556,12.97222222,25978649.74,26698371.32,525.0555556,30141.91667,11750000.0,0.666,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.5578074677938776,-0.5554316982847354,-0.5928049724908313,-0.5674988446650827,-0.4796121424826712,-0.607800774642128,-0.47833631740610344,-0.5761113069088806,-0.10433466675175793,-0.5773481600930773,-0.38680019598454646,0.0,0.5805847488542568,-0.3894972853811341,-0.7357766888618692
1,9722222.222,71194444.44,15250000.0,147027777.8,1750000.0,2055555.556,83333.33333,55555.55556,15.125,38264744.6,26719690.64,525.0555556,30141.88889,11805555.56,1.0,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.4864189073465746,-0.4843630815001172,-0.5104283495207939,-0.492335837438308,-0.47358253575907966,-0.5242006075483362,-0.47833631740610344,-0.5761113069088806,0.33432374082862565,-0.49947492229077645,-0.3863359486011674,0.0,-3.4835085000444073,-0.38689377656516527,1.750212605127178
1,18833333.33,117555555.6,26500000.0,258972222.2,2250000.0,3277777.778,111111.1111,55555.55556,7.097222222,58744543.36,26646447.69,525.0555556,30141.90278,12416666.67,1.0,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.3675587661299718,-0.3657495599282969,-0.37313397790406483,-0.36701232940835543,-0.3650496156026956,-0.382723401875387,-0.36260978904527036,-0.5761113069088806,-1.3014476096665804,-0.3696673424898873,-0.3879308797663482,0.0,-1.451461875328965,-0.35825518193266653,1.750212605127178
1,31638888.89,182500000.0,42250000.0,415805555.6,2777777.778,4916666.667,138888.8889,83333.33333,12.65277778,87460624.51,26671234.03,525.0555556,30141.90278,12944444.44,0.666,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.2005022870489296,-0.19959113395304495,-0.1809218576406442,-0.1914350274433895,-0.2504870887227201,-0.19301533058476025,-0.24688326055945267,-0.3894085685998551,-0.16942591335539398,-0.18765554446734486,-0.38739113490166477,0.0,-1.451461875328965,-0.3335218505241209,-0.7357766888618692
1,47972222.22,265861111.1,62500000.0,617138888.9,3138888.889,7111111.111,138888.8889,83333.33333,15.72222222,124297125.8,26630040.39,525.0555556,30141.90278,12750000.0,0.857632933,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,0.012576258819863061,0.013685785048884349,0.06620801126946803,0.033960701194660436,-0.17210220196722778,0.061000561413682326,-0.24688326055945267,-0.3894085685998551,0.456016072675725,0.04582609941123158,-0.38828816349272016,0.0,-1.451461875328965,-0.3426341304427485,0.6905628914187305
1,10138888.89,93638888.89,17861111.11,174777777.8,3472222.222,2722222.222,166666.6667,138888.8889,5.861111111,53147536.0,53223598.9,525.0555556,30141.90278,23888888.89,0.799519808,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.48098323013754063,-0.42693963910785343,-0.4785624953813352,-0.4612692903982015,-0.09974692193532701,-0.447031222698957,-0.13115673207363493,-0.016003091780164996,-1.553322436962354,-0.40514298304883606,0.19081051099621468,0.0,-1.451461875328965,0.17936934545078337,0.2580221531245771
1,26472222.22,170472222.2,34083333.33,356027777.8,3527777.778,4305555.556,166666.6667,138888.8889,12.26388889,81298853.36,53468114.29,525.0555556,30141.90278,23583333.33,0.833,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.2679046842687479,-0.2303638450862559,-0.2805874015216162,-0.2583571588299384,-0.08768770848814399,-0.2637539334212349,-0.13115673207363493,-0.016003091780164996,-0.24866743228871482,-0.22671084035387742,0.19613505371162074,0.0,-1.451461875328965,0.16505004790021807,0.5072179581326539
1,53805555.56,298666666.7,61083333.33,658361111.1,4638888.889,6888888.889,250000.0,138888.8889,18.98611111,128324803.4,53079523.13,525.0555556,30141.90278,24500000.0,0.777333333,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,0.08867573958979041,0.09761782160872919,0.04891909035853343,0.08010960588201263,0.15349655850192448,0.03527743313055604,0.2160228529672027,-0.016003091780164996,1.1210788191923236,0.07135482103594812,0.18767313141605824,0.0,-1.451461875328965,0.20800794008328213,0.09288640665345212
